N or P gene?,Cyanorak Ids,Gene_name,Type,Function,Paper 1,Paper 2,Paper 3,Paper 4
N,CK_00001355,nirA,nitrite,nitrite reduction to ammonium,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N,CK_00001553,nirX,,unknown function,"Martiny AC, Kathuria S, Berube PM. (2009). Widespread metabolic potential for nitrite and nitrate assimilation among Prochlorococcus ecotypes. Proc Natl Acad Sci USA 106: 10787-10792.","Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,
N, CK_00000417,thiO,,deamination of amino acids,"Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,,
N,CK_00001360,ureA,urea,hydrolysis of urea to ammonium and carbon dioxide,"Berube, P. M., Biller, S. J., Kent, A. G., Berta-Thompson, J. W., Roggensack, S. E., Roache-Johnson, K. H., ... & Chisholm, S. W. (2015). Physiology and evolution of nitrate acquisition in Prochlorococcus. The ISME journal, 9(5), 1195-1207.",,,
N,CK_00001359,ureB,,urease beta subunit,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00001358,ureC,,essential for urease activity,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00001361,ureD,,urease accessory protein UreD,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00001362,ureE,,urease accessory protein UreE,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00001363,ureF,,urease accessory protein UreF,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00001364,ureG,,urease accessory protein UreG,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00000468,ntcA,,regulation of nitrate and urea genes,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00001044,pipX,,co-regulation gene,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00000103,glnA,,glutamine syn.,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.","Tolonen, A. C., Aach, J., Lindell, D., Johnson, Z. I., Rector, T., Steen, R., ... & Chisholm, S. W. (2006). Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability. Molecular systems biology, 2(1), 53.", ,
N,CK_00000134,glsF,,GOGAT,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.","Tolonen, A. C., Aach, J., Lindell, D., Johnson, Z. I., Rector, T., Steen, R., ... & Chisholm, S. W. (2006). Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability. Molecular systems biology, 2(1), 53.",,
N,CK_00008074,urtA,,urea transport,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.","Tolonen, A. C., Aach, J., Lindell, D., Johnson, Z. I., Rector, T., Steen, R., ... & Chisholm, S. W. (2006). Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability. Molecular systems biology, 2(1), 53.",,
N,CK_00001366,urtC,,nitrite permease,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00001367,urtD,,"ABC-type urea transporter, ATP-binding component UrtD","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00008074,urtE,,"ABC-type urea transporter, ATPase component UrtE","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00003700,gdhA,,glutamate dehydrogenase,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00001489,natF,,amino acid take up and degradation,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00001624,natG,,amino acid take up and degradation,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00001488,natH,,amino acid take up and degradation,"Díez, J., López-Lozano, A., Domínguez-Martín, M. A., Gómez-Baena, G., Muñoz-Marín, M. C., Melero-Rubio, Y., & García-Fernández, J. M. (2023). Regulatory and metabolic adaptations in the nitrogen assimilation of marine picocyanobacteria. FEMS microbiology reviews, 47(1), fuac043.",,,
N,CK_00002247,speB2,,guanidinase,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00002249,tauA,,"ABC-type taurine transport system, substrate binding component","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
N,CK_00008064,tauB,,"ABC-type taurine transport system, ATPase component","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME journal, 17(5), 720-732.",,,
P,CK_00003430,phoA,Phosphate (Pi),Alkaline phosphatase (phoA),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","Kathuria, S., & Martiny, A. C. (2011). Prevalence of a calcium-based alkaline phosphatase associated with the marine cyanobacterium Prochlorococcus and other ocean bacteria. Environmental Microbiology. https://doi.org/10.1111/j.1462-2920.2010.02310.x","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x",
P,CK_00009168,phoX,Phosphate (Pi),Alkaline phosphatase (phoX),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","Kathuria, S., & Martiny, A. C. (2011). Prevalence of a calcium-based alkaline phosphatase associated with the marine cyanobacterium Prochlorococcus and other ocean bacteria. Environmental Microbiology. https://doi.org/10.1111/j.1462-2920.2010.02310.x",,
P,CK_00003429,PMM707,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00003437,PMM721,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00001815,acr3/arsB,,"Arsenite efflux pump ArsB, ACR3 family","Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","Saunders, J., Rocap, G. Genomic potential for arsenic efflux and methylation varies among global Prochlorococcus populations. ISME J 10, 197–209 (2016). https://doi.org/10.1038/ismej.2015.85",,
P,CK_00001532,arsR,,Putative arsenate stress transcriptional regulator,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","Saunders, J., Rocap, G. Genomic potential for arsenic efflux and methylation varies among global Prochlorococcus populations. ISME J 10, 197–209 (2016). https://doi.org/10.1038/ismej.2015.85",,
P,CK_00002826,chrA,,"Transporter, ChrA family","Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x",,
P,CK_00008093,gap3,Phosphate (Pi),Glyceraldehyde-3-phosphate dehydrogenase,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00001248,mfs,,"Transporter, multifacilitator family","Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00008015,phoB,,P stress two-component response regulator,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x",,
P,CK_00002330,phoE,Phosphate (Pi),Phosphate uptake outer membrane porin,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00001531,phoR,Phosphate (Pi),P stress two-component histidine kinase,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x",,
P,CK_00056804,ptrA,,P stress regulator,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x",,
P,CK_00045417,unkP1,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00003432,unkP2,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00052621,unkP3,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00045880,unkP4,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00003436,unkP5,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00044628,PMM719,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00054292,PMM722,,Hypothetical (upregulated under P stress),"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00000860,phnD,Phosphonate,"ABC-type phosphonate transport system, periplasmic component","Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00000642,ppA,phosphoanhydride (PPi),Inorganic pyrophosphatase,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00000383,ppK,Polyphosphate,Polyphosphate kinase,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00000620,ppX,Polyphosphate,Exopolyphosphatase,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00000165,pstA,Phosphate (Pi),"ABC-type phosphate transport system, permease component","Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x",,
P,CK_00000817,pstB,Phosphate (Pi),"ABC-type phosphate transport system, ATPase component","Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x",,
