n_or_p,gene_name,cyanorak_id,organism_name,cyanorak_route_locus,name_route_loci,verdict
N,moaE,CK_00001671,Prochlorococcus NATL2A,,,both_absent
N,mobA,CK_00001677,Prochlorococcus MED4,,,both_absent
N,mobA,CK_00001677,Prochlorococcus MIT9312,,,both_absent
N,mobA,CK_00001677,Prochlorococcus MIT9313,,,both_absent
N,mobA,CK_00001677,Prochlorococcus NATL2A,,,both_absent
N,moeA,CK_00001672,Prochlorococcus MED4,,,both_absent
N,moeA,CK_00001672,Prochlorococcus MIT9312,,,both_absent
N,moeA,CK_00001672,Prochlorococcus MIT9313,,,both_absent
N,moeA,CK_00001672,Prochlorococcus NATL2A,,,both_absent
N,nadB,CK_00000196,Prochlorococcus MED4,PMM0100,PMM0100,agree
N,nadB,CK_00000196,Prochlorococcus MIT9312,PMT9312_0104,PMT9312_0104,agree
N,nadB,CK_00000196,Prochlorococcus MIT9313,PMT0177,PMT0177,agree
N,nadB,CK_00000196,Prochlorococcus NATL2A,PMN2A_1468,PMN2A_1468,agree
N,nadB2,CK_00056735,Prochlorococcus MED4,,,both_absent
N,nadB2,CK_00056735,Prochlorococcus MIT9312,PMT9312_1354,PMT9312_1354,agree
N,nadB2,CK_00056735,Prochlorococcus MIT9313,,,both_absent
N,nadB2,CK_00056735,Prochlorococcus NATL2A,,,both_absent
N,napA/nrtP,CK_00001676,Prochlorococcus MED4,,,both_absent
N,napA/nrtP,CK_00001676,Prochlorococcus MIT9312,,,both_absent
N,napA/nrtP,CK_00001676,Prochlorococcus MIT9313,,,both_absent
N,napA/nrtP,CK_00001676,Prochlorococcus NATL2A,,,both_absent
N,narB,CK_00001675,Prochlorococcus MED4,,,both_absent
N,narB,CK_00001675,Prochlorococcus MIT9312,,,both_absent
N,narB,CK_00001675,Prochlorococcus MIT9313,,,both_absent
N,narB,CK_00001675,Prochlorococcus NATL2A,,,both_absent
N,narX1,CK_00001674,Prochlorococcus MED4,,,both_absent
N,narX1,CK_00001674,Prochlorococcus MIT9312,,,both_absent
N,narX1,CK_00001674,Prochlorococcus MIT9313,,,both_absent
N,narX1,CK_00001674,Prochlorococcus NATL2A,,,both_absent
N,narX2,CK_00001989,Prochlorococcus MED4,,,both_absent
N,narX2,CK_00001989,Prochlorococcus MIT9312,,,both_absent
N,narX2,CK_00001989,Prochlorococcus MIT9313,,,both_absent
N,narX2,CK_00001989,Prochlorococcus NATL2A,,,both_absent
N,nirA,CK_00001355,Prochlorococcus MED4,,,both_absent
N,nirA,CK_00001355,Prochlorococcus MIT9312,,,both_absent
N,nirA,CK_00001355,Prochlorococcus MIT9313,PMT2239,PMT2239,agree
N,nirA,CK_00001355,Prochlorococcus NATL2A,PMN2A_1298,PMN2A_1298; PMN2A_RS10340,agree_name_also_has_others
N,nirX,CK_00001553,Prochlorococcus MED4,,,both_absent
N,nirX,CK_00001553,Prochlorococcus MIT9312,,,both_absent
N,nirX,CK_00001553,Prochlorococcus MIT9313,PMT2241,,cyanorak_only
N,nirX,CK_00001553,Prochlorococcus NATL2A,PMN2A_1300,,cyanorak_only
N,thiO, CK_00000417,Prochlorococcus MED4,PMM0047,PMM0047,agree
N,thiO, CK_00000417,Prochlorococcus MIT9312,PMT9312_0048,PMT9312_0048,agree
N,thiO, CK_00000417,Prochlorococcus MIT9313,PMT2140,PMT2140,agree
N,thiO, CK_00000417,Prochlorococcus NATL2A,PMN2A_1380,PMN2A_1380,agree
N,ureA,CK_00001360,Prochlorococcus MED4,PMM0965,PMM0965,agree
N,ureA,CK_00001360,Prochlorococcus MIT9312,PMT9312_0834,PMT9312_0834,agree
N,ureA,CK_00001360,Prochlorococcus MIT9313,PMT2234,PMT2234,agree
N,ureA,CK_00001360,Prochlorococcus NATL2A,PMN2A_1053,PMN2A_1053,agree
N,ureB,CK_00001359,Prochlorococcus MED4,PMM0964,PMM0964,agree
N,ureB,CK_00001359,Prochlorococcus MIT9312,PMT9312_0835,PMT9312_0835,agree
N,ureB,CK_00001359,Prochlorococcus MIT9313,PMT2235,PMT2235,agree
N,ureB,CK_00001359,Prochlorococcus NATL2A,PMN2A_1054,PMN2A_1054,agree
N,ureC,CK_00001358,Prochlorococcus MED4,PMM0963,PMM0963,agree
N,ureC,CK_00001358,Prochlorococcus MIT9312,PMT9312_0836,PMT9312_0836,agree
N,ureC,CK_00001358,Prochlorococcus MIT9313,PMT2236,PMT2236,agree
N,ureC,CK_00001358,Prochlorococcus NATL2A,PMN2A_1055,PMN2A_1055,agree
N,ureD,CK_00001361,Prochlorococcus MED4,PMM0966,PMM0966,agree
N,ureD,CK_00001361,Prochlorococcus MIT9312,PMT9312_0833,PMT9312_0833,agree
N,ureD,CK_00001361,Prochlorococcus MIT9313,PMT2233,PMT2233,agree
N,ureD,CK_00001361,Prochlorococcus NATL2A,PMN2A_1052,PMN2A_1052,agree
N,ureE,CK_00001362,Prochlorococcus MED4,PMM0967,PMM0967,agree
N,ureE,CK_00001362,Prochlorococcus MIT9312,PMT9312_0832,PMT9312_0832,agree
N,ureE,CK_00001362,Prochlorococcus MIT9313,PMT2232,PMT2232,agree
N,ureE,CK_00001362,Prochlorococcus NATL2A,PMN2A_1051,PMN2A_1051,agree
N,ureF,CK_00001363,Prochlorococcus MED4,PMM0968,PMM0968,agree
N,ureF,CK_00001363,Prochlorococcus MIT9312,PMT9312_0831,PMT9312_0831,agree
N,ureF,CK_00001363,Prochlorococcus MIT9313,PMT2231,PMT2231,agree
N,ureF,CK_00001363,Prochlorococcus NATL2A,PMN2A_1050,PMN2A_1050,agree
N,ureG,CK_00001364,Prochlorococcus MED4,PMM0969,PMM0969,agree
N,ureG,CK_00001364,Prochlorococcus MIT9312,PMT9312_0830,PMT9312_0830,agree
N,ureG,CK_00001364,Prochlorococcus MIT9313,PMT2230,PMT2230,agree
N,ureG,CK_00001364,Prochlorococcus NATL2A,PMN2A_1049,PMN2A_1049,agree
N,ntcA,CK_00000468,Prochlorococcus MED4,PMM0246,PMM0246,agree
N,ntcA,CK_00000468,Prochlorococcus MIT9312,PMT9312_0248,PMT9312_0248,agree
N,ntcA,CK_00000468,Prochlorococcus MIT9313,PMT1831,PMT1831,agree
N,ntcA,CK_00000468,Prochlorococcus NATL2A,PMN2A_1612,PMN2A_1612,agree
N,pipX,CK_00001044,Prochlorococcus MED4,PMM0393,PMM0393,agree
N,pipX,CK_00001044,Prochlorococcus MIT9312,PMT9312_0389,PMT9312_0389,agree
N,pipX,CK_00001044,Prochlorococcus MIT9313,PMT0205,PMT0205,agree
N,pipX,CK_00001044,Prochlorococcus NATL2A,PMN2A_1728,PMN2A_1728,agree
N,glnA,CK_00000103,Prochlorococcus MED4,PMM0920,PMM0920,agree
N,glnA,CK_00000103,Prochlorococcus MIT9312,PMT9312_0880,PMT9312_0880,agree
N,glnA,CK_00000103,Prochlorococcus MIT9313,PMT0601,PMT0601,agree
N,glnA,CK_00000103,Prochlorococcus NATL2A,PMN2A_0141,PMN2A_0141,agree
N,glsF,CK_00000134,Prochlorococcus MED4,PMM1512,PMM1512,agree
N,glsF,CK_00000134,Prochlorococcus MIT9312,PMT9312_1604,PMT9312_1604,agree
N,glsF,CK_00000134,Prochlorococcus MIT9313,PMT1777,PMT1777,agree
N,glsF,CK_00000134,Prochlorococcus NATL2A,PMN2A_1078,PMN2A_1078,agree
N,urtA,CK_00008074,Prochlorococcus MED4,PMM0970,PMM0970,agree
N,urtA,CK_00008074,Prochlorococcus MIT9312,PMT9312_0829,PMT9312_0829,agree
N,urtA,CK_00008074,Prochlorococcus MIT9313,PMT2229,PMT2229,agree
N,urtA,CK_00008074,Prochlorococcus NATL2A,PMN2A_1048,PMN2A_1048,agree
N,urtC,CK_00001366,Prochlorococcus MED4,PMM0972,PMM0972,agree
N,urtC,CK_00001366,Prochlorococcus MIT9312,PMT9312_0827,PMT9312_0827,agree
N,urtC,CK_00001366,Prochlorococcus MIT9313,PMT2227,PMT2227,agree
N,urtC,CK_00001366,Prochlorococcus NATL2A,PMN2A_1046,PMN2A_1046,agree
N,urtD,CK_00001367,Prochlorococcus MED4,PMM0973,PMM0973,agree
N,urtD,CK_00001367,Prochlorococcus MIT9312,PMT9312_0826,PMT9312_0826,agree
N,urtD,CK_00001367,Prochlorococcus MIT9313,PMT2226,PMT2226,agree
N,urtD,CK_00001367,Prochlorococcus NATL2A,PMN2A_1045,PMN2A_1045,agree
N,urtE,CK_00008074,Prochlorococcus MED4,PMM0974,PMM0974,agree
N,urtE,CK_00008074,Prochlorococcus MIT9312,PMT9312_0825,PMT9312_0825,agree
N,urtE,CK_00008074,Prochlorococcus MIT9313,PMT2225,PMT2225,agree
N,urtE,CK_00008074,Prochlorococcus NATL2A,PMN2A_1044,PMN2A_1044,agree
N,gdhA,CK_00003700,Prochlorococcus MED4,,,both_absent
N,gdhA,CK_00003700,Prochlorococcus MIT9312,,,both_absent
N,gdhA,CK_00003700,Prochlorococcus MIT9313,PMT0623,PMT0623,agree
N,gdhA,CK_00003700,Prochlorococcus NATL2A,,,both_absent
N,natF,CK_00001489,Prochlorococcus MED4,,,both_absent
N,natF,CK_00001489,Prochlorococcus MIT9312,PMT9312_1168,PMT9312_1168,agree
N,natF,CK_00001489,Prochlorococcus MIT9313,PMT0897,PMT0897,agree
N,natF,CK_00001489,Prochlorococcus NATL2A,PMN2A_0614,PMN2A_0614,agree
N,natG,CK_00001624,Prochlorococcus MED4,,,both_absent
N,natG,CK_00001624,Prochlorococcus MIT9312,PMT9312_1167,PMT9312_1167,agree
N,natG,CK_00001624,Prochlorococcus MIT9313,PMT0896,PMT0896,agree
N,natG,CK_00001624,Prochlorococcus NATL2A,PMN2A_0613,PMN2A_0613,agree
N,natH,CK_00001488,Prochlorococcus MED4,,,both_absent
N,natH,CK_00001488,Prochlorococcus MIT9312,PMT9312_1166,PMT9312_1166,agree
N,natH,CK_00001488,Prochlorococcus MIT9313,PMT0894,PMT0894,agree
N,natH,CK_00001488,Prochlorococcus NATL2A,PMN2A_0612,PMN2A_0612,agree
N,speB2,CK_00002247,Prochlorococcus MED4,,,both_absent
N,speB2,CK_00002247,Prochlorococcus MIT9312,,,both_absent
N,speB2,CK_00002247,Prochlorococcus MIT9313,,,both_absent
N,speB2,CK_00002247,Prochlorococcus NATL2A,,,both_absent
N,tauA,CK_00002249,Prochlorococcus MED4,,,both_absent
N,tauA,CK_00002249,Prochlorococcus MIT9312,,,both_absent
N,tauA,CK_00002249,Prochlorococcus MIT9313,,,both_absent
N,tauA,CK_00002249,Prochlorococcus NATL2A,,,both_absent
N,tauB,CK_00008064,Prochlorococcus MED4,,,both_absent
N,tauB,CK_00008064,Prochlorococcus MIT9312,,,both_absent
N,tauB,CK_00008064,Prochlorococcus MIT9313,,,both_absent
N,tauB,CK_00008064,Prochlorococcus NATL2A,,,both_absent
P,phoA,CK_00003430,Prochlorococcus MED4,PMM0708,,cyanorak_only
P,phoA,CK_00003430,Prochlorococcus MIT9312,PMT9312_0720,,cyanorak_only
P,phoA,CK_00003430,Prochlorococcus MIT9313,,,both_absent
P,phoA,CK_00003430,Prochlorococcus NATL2A,PMN2A_0439,,cyanorak_only
P,phoX,CK_00009168,Prochlorococcus MED4,,,both_absent
P,phoX,CK_00009168,Prochlorococcus MIT9312,,,both_absent
P,phoX,CK_00009168,Prochlorococcus MIT9313,,,both_absent
P,phoX,CK_00009168,Prochlorococcus NATL2A,,,both_absent
P,PMM707,CK_00003429,Prochlorococcus MED4,PMM0707,PMM0707,agree
P,PMM707,CK_00003429,Prochlorococcus MIT9312,PMT9312_0719,,cyanorak_only
P,PMM707,CK_00003429,Prochlorococcus MIT9313,,,both_absent
P,PMM707,CK_00003429,Prochlorococcus NATL2A,PMN2A_0438,,cyanorak_only
P,PMM721,CK_00003437,Prochlorococcus MED4,PMM0721,PMM0721,agree
P,PMM721,CK_00003437,Prochlorococcus MIT9312,,,both_absent
P,PMM721,CK_00003437,Prochlorococcus MIT9313,,,both_absent
P,PMM721,CK_00003437,Prochlorococcus NATL2A,,,both_absent
P,acr3/arsB,CK_00001815,Prochlorococcus MED4,PMM0716,PMM0716,agree
P,acr3/arsB,CK_00001815,Prochlorococcus MIT9312,,,both_absent
P,acr3/arsB,CK_00001815,Prochlorococcus MIT9313,,,both_absent
P,acr3/arsB,CK_00001815,Prochlorococcus NATL2A,PMN2A_0447,PMN2A_0447,agree
P,arsR,CK_00001532,Prochlorococcus MED4,PMM0714,PMM0714,agree
P,arsR,CK_00001532,Prochlorococcus MIT9312,PMT9312_0726,PMT9312_0726,agree
P,arsR,CK_00001532,Prochlorococcus MIT9313,PMT1001,PMT1001,agree
P,arsR,CK_00001532,Prochlorococcus NATL2A,PMN2A_0446,PMN2A_0446,agree
P,chrA,CK_00002826,Prochlorococcus MED4,PMM0711,PMM0711,agree
P,chrA,CK_00002826,Prochlorococcus MIT9312,PMT9312_0723,PMT9312_0723,agree
P,chrA,CK_00002826,Prochlorococcus MIT9313,,,both_absent
P,chrA,CK_00002826,Prochlorococcus NATL2A,PMN2A_0443,PMN2A_0443,agree
P,gap3,CK_00008093,Prochlorococcus MED4,PMM0713,PMM0713,agree
P,gap3,CK_00008093,Prochlorococcus MIT9312,PMT9312_0725,PMT9312_0725,agree
P,gap3,CK_00008093,Prochlorococcus MIT9313,PMT1000,PMT1000,agree
P,gap3,CK_00008093,Prochlorococcus NATL2A,PMN2A_0445,PMN2A_0445,agree
P,mfs,CK_00001248,Prochlorococcus MED4,PMM0712,,cyanorak_only
P,mfs,CK_00001248,Prochlorococcus MIT9312,PMT9312_0724,,cyanorak_only
P,mfs,CK_00001248,Prochlorococcus MIT9313,PMT0999,,cyanorak_only
P,mfs,CK_00001248,Prochlorococcus NATL2A,PMN2A_0444,,cyanorak_only
P,phoB,CK_00008015,Prochlorococcus MED4,PMM0705,PMM0705,agree
P,phoB,CK_00008015,Prochlorococcus MIT9312,PMT9312_0717,PMT9312_0717,agree
P,phoB,CK_00008015,Prochlorococcus MIT9313,PMT0994,PMT0994,agree
P,phoB,CK_00008015,Prochlorococcus NATL2A,PMN2A_0436,PMN2A_0436,agree
P,phoE,CK_00002330,Prochlorococcus MED4,PMM0709,,cyanorak_only
P,phoE,CK_00002330,Prochlorococcus MIT9312,PMT9312_0721,,cyanorak_only
P,phoE,CK_00002330,Prochlorococcus MIT9313,PMT0998,,cyanorak_only
P,phoE,CK_00002330,Prochlorococcus NATL2A,PMN2A_0440,,cyanorak_only
P,phoR,CK_00001531,Prochlorococcus MED4,PMM0706,PMM0706,agree
P,phoR,CK_00001531,Prochlorococcus MIT9312,PMT9312_0718,PMT9312_0718,agree
P,phoR,CK_00001531,Prochlorococcus MIT9313,PMT_0997,PMT_0995; PMT_0996; PMT_0997,agree_name_also_has_others
P,phoR,CK_00001531,Prochlorococcus NATL2A,PMN2A_0437,PMN2A_0437,agree
P,ptrA,CK_00056804,Prochlorococcus MED4,PMM0718,,cyanorak_only
P,ptrA,CK_00056804,Prochlorococcus MIT9312,,,both_absent
P,ptrA,CK_00056804,Prochlorococcus MIT9313,,,both_absent
P,ptrA,CK_00056804,Prochlorococcus NATL2A,PMN2A_0435,PMN2A_0435,agree
P,unkP1,CK_00045417,Prochlorococcus MED4,PMM1878,,cyanorak_only
P,unkP1,CK_00045417,Prochlorococcus MIT9312,PMT9312_1857,,cyanorak_only
P,unkP1,CK_00045417,Prochlorococcus MIT9313,,,both_absent
P,unkP1,CK_00045417,Prochlorococcus NATL2A,PMN2A_1997,,cyanorak_only
P,unkP2,CK_00003432,Prochlorococcus MED4,PMM0715,,cyanorak_only
P,unkP2,CK_00003432,Prochlorococcus MIT9312,,,both_absent
P,unkP2,CK_00003432,Prochlorococcus MIT9313,,,both_absent
P,unkP2,CK_00003432,Prochlorococcus NATL2A,,,both_absent
P,unkP3,CK_00052621,Prochlorococcus MED4,PMM0717,,cyanorak_only
P,unkP3,CK_00052621,Prochlorococcus MIT9312,,,both_absent
P,unkP3,CK_00052621,Prochlorococcus MIT9313,,,both_absent
P,unkP3,CK_00052621,Prochlorococcus NATL2A,,,both_absent
P,unkP4,CK_00045880,Prochlorococcus MED4,PMM1880,,cyanorak_only
P,unkP4,CK_00045880,Prochlorococcus MIT9312,,,both_absent
P,unkP4,CK_00045880,Prochlorococcus MIT9313,,,both_absent
P,unkP4,CK_00045880,Prochlorococcus NATL2A,,,both_absent
P,unkP5,CK_00003436,Prochlorococcus MED4,PMM0720,,cyanorak_only
P,unkP5,CK_00003436,Prochlorococcus MIT9312,PMT9312_1520,,cyanorak_only
P,unkP5,CK_00003436,Prochlorococcus MIT9313,,,both_absent
P,unkP5,CK_00003436,Prochlorococcus NATL2A,,,both_absent
P,PMM719,CK_00044628,Prochlorococcus MED4,PMM0719,PMM0719,agree
P,PMM719,CK_00044628,Prochlorococcus MIT9312,,,both_absent
P,PMM719,CK_00044628,Prochlorococcus MIT9313,,,both_absent
P,PMM719,CK_00044628,Prochlorococcus NATL2A,,,both_absent
P,PMM722,CK_00054292,Prochlorococcus MED4,PMM0722,PMM0722,agree
P,PMM722,CK_00054292,Prochlorococcus MIT9312,,,both_absent
P,PMM722,CK_00054292,Prochlorococcus MIT9313,,,both_absent
P,PMM722,CK_00054292,Prochlorococcus NATL2A,,,both_absent
P,phnD,CK_00000860,Prochlorococcus MED4,PMM0673,PMM0673,agree
P,phnD,CK_00000860,Prochlorococcus MIT9312,PMT9312_0673,PMT9312_0673,agree
P,phnD,CK_00000860,Prochlorococcus MIT9313,PMT0780,PMT0780,agree
P,phnD,CK_00000860,Prochlorococcus NATL2A,PMN2A_0105,PMN2A_0105,agree
P,ppA,CK_00000642,Prochlorococcus MED4,PMM0494,PMM0494; PMM0511,agree_name_also_has_others
P,ppA,CK_00000642,Prochlorococcus MIT9312,PMT9312_0495,PMT9312_0495; PMT9312_0512,agree_name_also_has_others
P,ppA,CK_00000642,Prochlorococcus MIT9313,PMT1275,PMT1257; PMT1275,agree_name_also_has_others
P,ppA,CK_00000642,Prochlorococcus NATL2A,PMN2A_1827,PMN2A_1827; PMN2A_1844,agree_name_also_has_others
P,ppK,CK_00000383,Prochlorococcus MED4,PMM1696,PMM1696,agree
P,ppK,CK_00000383,Prochlorococcus MIT9312,PMT9312_1789,PMT9312_1789,agree
P,ppK,CK_00000383,Prochlorococcus MIT9313,PMT2245,PMT2245,agree
P,ppK,CK_00000383,Prochlorococcus NATL2A,PMN2A_1304,PMN2A_1304,agree
P,ppX,CK_00000620,Prochlorococcus MED4,PMM0457,PMM0457,agree
P,ppX,CK_00000620,Prochlorococcus MIT9312,PMT9312_0457,PMT9312_0457,agree
P,ppX,CK_00000620,Prochlorococcus MIT9313,PMT1327,PMT1327,agree
P,ppX,CK_00000620,Prochlorococcus NATL2A,PMN2A_1789,PMN2A_1789,agree
P,pstA,CK_00000165,Prochlorococcus MED4,PMM0724,PMM0035; PMM0724,agree_name_also_has_others
P,pstA,CK_00000165,Prochlorococcus MIT9312,PMT9312_0728,PMT9312_0035; PMT9312_0728,agree_name_also_has_others
P,pstA,CK_00000165,Prochlorococcus MIT9313,PMT0701,PMT0043; PMT0701,agree_name_also_has_others
P,pstA,CK_00000165,Prochlorococcus NATL2A,PMN2A_0310,PMN2A_0310; PMN2A_1361,agree_name_also_has_others
P,pstB,CK_00000817,Prochlorococcus MED4,PMM0725,PMM0725,agree
P,pstB,CK_00000817,Prochlorococcus MIT9312,PMT9312_0729,PMT9312_0729,agree
P,pstB,CK_00000817,Prochlorococcus MIT9313,PMT0700,PMT0700,agree
P,pstB,CK_00000817,Prochlorococcus NATL2A,PMN2A_0309,PMN2A_0309,agree
P,pstC,CK_00000818,Prochlorococcus MED4,PMM0723,PMM0723,agree
P,pstC,CK_00000818,Prochlorococcus MIT9312,PMT9312_0727,PMT9312_0727,agree
P,pstC,CK_00000818,Prochlorococcus MIT9313,PMT0702,PMT0702,agree
P,pstC,CK_00000818,Prochlorococcus NATL2A,PMN2A_0311,PMN2A_0311,agree
P,pstS,CK_00043821,Prochlorococcus MED4,PMM0710,PMM0710,agree
P,pstS,CK_00043821,Prochlorococcus MIT9312,PMT9312_0722,PMT9312_0722,agree
P,pstS,CK_00043821,Prochlorococcus MIT9313,PMT0993,PMT0508; PMT0993,agree_name_also_has_others
P,pstS,CK_00043821,Prochlorococcus NATL2A,PMN2A_0441,PMN2A_0441,agree
P,sqdB,CK_00000123,Prochlorococcus MED4,PMM1665,PMM1665,agree
P,sqdB,CK_00000123,Prochlorococcus MIT9312,PMT9312_1757,PMT9312_1757,agree
P,sqdB,CK_00000123,Prochlorococcus MIT9313,PMT0050,PMT0050,agree
P,sqdB,CK_00000123,Prochlorococcus NATL2A,PMN2A_1264,PMN2A_1264,agree
P,phnZ,CK_00007402,Prochlorococcus MED4,,,both_absent
P,phnZ,CK_00007402,Prochlorococcus MIT9312,,,both_absent
P,phnZ,CK_00007402,Prochlorococcus MIT9313,,,both_absent
P,phnZ,CK_00007402,Prochlorococcus NATL2A,,,both_absent
P,phnY,CK_00055307,Prochlorococcus MED4,,,both_absent
P,phnY,CK_00055307,Prochlorococcus MIT9312,,,both_absent
P,phnY,CK_00055307,Prochlorococcus MIT9313,,,both_absent
P,phnY,CK_00055307,Prochlorococcus NATL2A,,,both_absent
P,phnC,CK_00008048,Prochlorococcus MED4,PMM0672,PMM0672,agree
P,phnC,CK_00008048,Prochlorococcus MIT9312,PMT9312_0672,PMT9312_0672,agree
P,phnC,CK_00008048,Prochlorococcus MIT9313,PMT0781,PMT0781,agree
P,phnC,CK_00008048,Prochlorococcus NATL2A,PMN2A_0104,PMN2A_0104,agree
P,phnE,CK_00000861,Prochlorococcus MED4,PMM0671,PMM0671,agree
P,phnE,CK_00000861,Prochlorococcus MIT9312,PMT9312_0671,PMT9312_0671,agree
P,phnE,CK_00000861,Prochlorococcus MIT9313,PMT0782,PMT0782,agree
P,phnE,CK_00000861,Prochlorococcus NATL2A,PMN2A_0103,PMN2A_0103,agree
P,ptxA/phnC2,CK_00008062,Prochlorococcus MED4,,,both_absent
P,ptxA/phnC2,CK_00008062,Prochlorococcus MIT9312,,,both_absent
P,ptxA/phnC2,CK_00008062,Prochlorococcus MIT9313,,,both_absent
P,ptxA/phnC2,CK_00008062,Prochlorococcus NATL2A,,,both_absent
P,ptxB/phnD2,CK_00006203,Prochlorococcus MED4,,,both_absent
P,ptxB/phnD2,CK_00006203,Prochlorococcus MIT9312,,,both_absent
P,ptxB/phnD2,CK_00006203,Prochlorococcus MIT9313,,,both_absent
P,ptxB/phnD2,CK_00006203,Prochlorococcus NATL2A,,,both_absent
P,ptxC,CK_00048116,Prochlorococcus MED4,,,both_absent
P,ptxC,CK_00048116,Prochlorococcus MIT9312,,,both_absent
P,ptxC,CK_00048116,Prochlorococcus MIT9313,,,both_absent
P,ptxC,CK_00048116,Prochlorococcus NATL2A,,,both_absent
P,ptxD,CK_00056808,Prochlorococcus MED4,,,both_absent
P,ptxD,CK_00056808,Prochlorococcus MIT9312,,,both_absent
P,ptxD,CK_00056808,Prochlorococcus MIT9313,,,both_absent
P,ptxD,CK_00056808,Prochlorococcus NATL2A,,,both_absent
P,PsiP1,CK_00002662,Prochlorococcus MED4,PMM1416,PMM1416,agree
P,PsiP1,CK_00002662,Prochlorococcus MIT9312,,,both_absent
P,PsiP1,CK_00002662,Prochlorococcus MIT9313,,,both_absent
P,PsiP1,CK_00002662,Prochlorococcus NATL2A,,,both_absent
P,phnC3,CK_00056877,Prochlorococcus MED4,,,both_absent
P,phnC3,CK_00056877,Prochlorococcus MIT9312,,,both_absent
P,phnC3,CK_00056877,Prochlorococcus MIT9313,,,both_absent
P,phnC3,CK_00056877,Prochlorococcus NATL2A,,,both_absent
