n_or_p,gene_name,cyanorak_id,organism_name,locus_tag,status,n_group_members_in_strain,all_members_in_strain
N,cynH,CK_00003051,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,cynH,CK_00003051,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,cynH,CK_00003051,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,cynH2,CK_00053828,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,cynH2,CK_00053828,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,cynH2,CK_00053828,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,cynH2,CK_00053828,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,focA,CK_00001669,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,focA,CK_00001669,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,focA,CK_00001669,Prochlorococcus MIT9313,PMT2240,resolved,1.0,PMT2240
N,focA,CK_00001669,Prochlorococcus NATL2A,PMN2A_1299,resolved,1.0,PMN2A_1299
N,moaA,CK_00001678,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,moaA,CK_00001678,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,moaA,CK_00001678,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,moaA,CK_00001678,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,moaB,CK_00001670,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,moaB,CK_00001670,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,moaB,CK_00001670,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,moaB,CK_00001670,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,moaC,CK_00001673,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,moaC,CK_00001673,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,moaC,CK_00001673,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,moaC,CK_00001673,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,moaD,CK_00001749,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,moaD,CK_00001749,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,moaD,CK_00001749,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,moaD,CK_00001749,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,moaE,CK_00001671,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,moaE,CK_00001671,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,moaE,CK_00001671,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,moaE,CK_00001671,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,mobA,CK_00001677,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,mobA,CK_00001677,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,mobA,CK_00001677,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,mobA,CK_00001677,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,moeA,CK_00001672,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,moeA,CK_00001672,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,moeA,CK_00001672,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,moeA,CK_00001672,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,nadB,CK_00000196,Prochlorococcus MED4,PMM0100,resolved,1.0,PMM0100
N,nadB,CK_00000196,Prochlorococcus MIT9312,PMT9312_0104,resolved,1.0,PMT9312_0104
N,nadB,CK_00000196,Prochlorococcus MIT9313,PMT0177,resolved,1.0,PMT0177
N,nadB,CK_00000196,Prochlorococcus NATL2A,PMN2A_1468,resolved,1.0,PMN2A_1468
N,nadB2,CK_00056735,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,nadB2,CK_00056735,Prochlorococcus MIT9312,PMT9312_1354,resolved,1.0,PMT9312_1354
N,nadB2,CK_00056735,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,nadB2,CK_00056735,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,napA/nrtP,CK_00001676,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,napA/nrtP,CK_00001676,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,napA/nrtP,CK_00001676,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,napA/nrtP,CK_00001676,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,narB,CK_00001675,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,narB,CK_00001675,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,narB,CK_00001675,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,narB,CK_00001675,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,narX1,CK_00001674,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,narX1,CK_00001674,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,narX1,CK_00001674,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,narX1,CK_00001674,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,narX2,CK_00001989,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,narX2,CK_00001989,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,narX2,CK_00001989,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,narX2,CK_00001989,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,nirA,CK_00001355,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,nirA,CK_00001355,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,nirA,CK_00001355,Prochlorococcus MIT9313,PMT2239,resolved,1.0,PMT2239
N,nirA,CK_00001355,Prochlorococcus NATL2A,PMN2A_1298,resolved,1.0,PMN2A_1298
N,nirX,CK_00001553,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,nirX,CK_00001553,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,nirX,CK_00001553,Prochlorococcus MIT9313,PMT2241,resolved,1.0,PMT2241
N,nirX,CK_00001553,Prochlorococcus NATL2A,PMN2A_1300,resolved,1.0,PMN2A_1300
N,thiO,CK_00000417,Prochlorococcus MED4,PMM0047,resolved,1.0,PMM0047
N,thiO,CK_00000417,Prochlorococcus MIT9312,PMT9312_0048,resolved,1.0,PMT9312_0048
N,thiO,CK_00000417,Prochlorococcus MIT9313,PMT2140,resolved,1.0,PMT2140
N,thiO,CK_00000417,Prochlorococcus NATL2A,PMN2A_1380,resolved,1.0,PMN2A_1380
N,ureA,CK_00001360,Prochlorococcus MED4,PMM0965,resolved,1.0,PMM0965
N,ureA,CK_00001360,Prochlorococcus MIT9312,PMT9312_0834,resolved,1.0,PMT9312_0834
N,ureA,CK_00001360,Prochlorococcus MIT9313,PMT2234,resolved,1.0,PMT2234
N,ureA,CK_00001360,Prochlorococcus NATL2A,PMN2A_1053,resolved,1.0,PMN2A_1053
N,ureB,CK_00001359,Prochlorococcus MED4,PMM0964,resolved,1.0,PMM0964
N,ureB,CK_00001359,Prochlorococcus MIT9312,PMT9312_0835,resolved,1.0,PMT9312_0835
N,ureB,CK_00001359,Prochlorococcus MIT9313,PMT2235,resolved,1.0,PMT2235
N,ureB,CK_00001359,Prochlorococcus NATL2A,PMN2A_1054,resolved,1.0,PMN2A_1054
N,ureC,CK_00001358,Prochlorococcus MED4,PMM0963,resolved,1.0,PMM0963
N,ureC,CK_00001358,Prochlorococcus MIT9312,PMT9312_0836,resolved,1.0,PMT9312_0836
N,ureC,CK_00001358,Prochlorococcus MIT9313,PMT2236,resolved,1.0,PMT2236
N,ureC,CK_00001358,Prochlorococcus NATL2A,PMN2A_1055,resolved,1.0,PMN2A_1055
N,ureD,CK_00001361,Prochlorococcus MED4,PMM0966,resolved,1.0,PMM0966
N,ureD,CK_00001361,Prochlorococcus MIT9312,PMT9312_0833,resolved,1.0,PMT9312_0833
N,ureD,CK_00001361,Prochlorococcus MIT9313,PMT2233,resolved,1.0,PMT2233
N,ureD,CK_00001361,Prochlorococcus NATL2A,PMN2A_1052,resolved,1.0,PMN2A_1052
N,ureE,CK_00001362,Prochlorococcus MED4,PMM0967,resolved,1.0,PMM0967
N,ureE,CK_00001362,Prochlorococcus MIT9312,PMT9312_0832,resolved,1.0,PMT9312_0832
N,ureE,CK_00001362,Prochlorococcus MIT9313,PMT2232,resolved,1.0,PMT2232
N,ureE,CK_00001362,Prochlorococcus NATL2A,PMN2A_1051,resolved,1.0,PMN2A_1051
N,ureF,CK_00001363,Prochlorococcus MED4,PMM0968,resolved,1.0,PMM0968
N,ureF,CK_00001363,Prochlorococcus MIT9312,PMT9312_0831,resolved,1.0,PMT9312_0831
N,ureF,CK_00001363,Prochlorococcus MIT9313,PMT2231,resolved,1.0,PMT2231
N,ureF,CK_00001363,Prochlorococcus NATL2A,PMN2A_1050,resolved,1.0,PMN2A_1050
N,ureG,CK_00001364,Prochlorococcus MED4,PMM0969,resolved,1.0,PMM0969
N,ureG,CK_00001364,Prochlorococcus MIT9312,PMT9312_0830,resolved,1.0,PMT9312_0830
N,ureG,CK_00001364,Prochlorococcus MIT9313,PMT2230,resolved,1.0,PMT2230
N,ureG,CK_00001364,Prochlorococcus NATL2A,PMN2A_1049,resolved,1.0,PMN2A_1049
N,ntcA,CK_00000468,Prochlorococcus MED4,PMM0246,resolved,1.0,PMM0246
N,ntcA,CK_00000468,Prochlorococcus MIT9312,PMT9312_0248,resolved,1.0,PMT9312_0248
N,ntcA,CK_00000468,Prochlorococcus MIT9313,PMT1831,resolved,1.0,PMT1831
N,ntcA,CK_00000468,Prochlorococcus NATL2A,PMN2A_1612,resolved,1.0,PMN2A_1612
N,pipX,CK_00001044,Prochlorococcus MED4,PMM0393,resolved,1.0,PMM0393
N,pipX,CK_00001044,Prochlorococcus MIT9312,PMT9312_0389,resolved,1.0,PMT9312_0389
N,pipX,CK_00001044,Prochlorococcus MIT9313,PMT0205,resolved,1.0,PMT0205
N,pipX,CK_00001044,Prochlorococcus NATL2A,PMN2A_1728,resolved,1.0,PMN2A_1728
N,glnA,CK_00000103,Prochlorococcus MED4,PMM0920,resolved,1.0,PMM0920
N,glnA,CK_00000103,Prochlorococcus MIT9312,PMT9312_0880,resolved,1.0,PMT9312_0880
N,glnA,CK_00000103,Prochlorococcus MIT9313,PMT0601,resolved,1.0,PMT0601
N,glnA,CK_00000103,Prochlorococcus NATL2A,PMN2A_0141,resolved,1.0,PMN2A_0141
N,glsF,CK_00000134,Prochlorococcus MED4,PMM1512,resolved,1.0,PMM1512
N,glsF,CK_00000134,Prochlorococcus MIT9312,PMT9312_1604,resolved,1.0,PMT9312_1604
N,glsF,CK_00000134,Prochlorococcus MIT9313,PMT1777,resolved,1.0,PMT1777
N,glsF,CK_00000134,Prochlorococcus NATL2A,PMN2A_1078,resolved,1.0,PMN2A_1078
N,urtA,CK_00000076,Prochlorococcus MED4,PMM0970,resolved,1.0,PMM0970
N,urtA,CK_00000076,Prochlorococcus MIT9312,PMT9312_0829,resolved,1.0,PMT9312_0829
N,urtA,CK_00000076,Prochlorococcus MIT9313,PMT2229,resolved,1.0,PMT2229
N,urtA,CK_00000076,Prochlorococcus NATL2A,PMN2A_1048,resolved,1.0,PMN2A_1048
N,urtC,CK_00001366,Prochlorococcus MED4,PMM0972,resolved,1.0,PMM0972
N,urtC,CK_00001366,Prochlorococcus MIT9312,PMT9312_0827,resolved,1.0,PMT9312_0827
N,urtC,CK_00001366,Prochlorococcus MIT9313,PMT2227,resolved,1.0,PMT2227
N,urtC,CK_00001366,Prochlorococcus NATL2A,PMN2A_1046,resolved,1.0,PMN2A_1046
N,urtD,CK_00001367,Prochlorococcus MED4,PMM0973,resolved,1.0,PMM0973
N,urtD,CK_00001367,Prochlorococcus MIT9312,PMT9312_0826,resolved,1.0,PMT9312_0826
N,urtD,CK_00001367,Prochlorococcus MIT9313,PMT2226,resolved,1.0,PMT2226
N,urtD,CK_00001367,Prochlorococcus NATL2A,PMN2A_1045,resolved,1.0,PMN2A_1045
N,urtE,CK_00008074,Prochlorococcus MED4,PMM0974,resolved,1.0,PMM0974
N,urtE,CK_00008074,Prochlorococcus MIT9312,PMT9312_0825,resolved,1.0,PMT9312_0825
N,urtE,CK_00008074,Prochlorococcus MIT9313,PMT2225,resolved,1.0,PMT2225
N,urtE,CK_00008074,Prochlorococcus NATL2A,PMN2A_1044,resolved,1.0,PMN2A_1044
N,gdhA,CK_00003700,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,gdhA,CK_00003700,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,gdhA,CK_00003700,Prochlorococcus MIT9313,PMT0623,resolved,1.0,PMT0623
N,gdhA,CK_00003700,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,natF,CK_00001489,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,natF,CK_00001489,Prochlorococcus MIT9312,PMT9312_1168,resolved,1.0,PMT9312_1168
N,natF,CK_00001489,Prochlorococcus MIT9313,PMT0897,resolved,1.0,PMT0897
N,natF,CK_00001489,Prochlorococcus NATL2A,PMN2A_0614,resolved,1.0,PMN2A_0614
N,natG,CK_00001624,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,natG,CK_00001624,Prochlorococcus MIT9312,PMT9312_1167,resolved,1.0,PMT9312_1167
N,natG,CK_00001624,Prochlorococcus MIT9313,PMT0896,resolved,1.0,PMT0896
N,natG,CK_00001624,Prochlorococcus NATL2A,PMN2A_0613,resolved,1.0,PMN2A_0613
N,natH,CK_00001488,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,natH,CK_00001488,Prochlorococcus MIT9312,PMT9312_1166,resolved,1.0,PMT9312_1166
N,natH,CK_00001488,Prochlorococcus MIT9313,PMT0894,resolved,1.0,PMT0894
N,natH,CK_00001488,Prochlorococcus NATL2A,PMN2A_0612,resolved,1.0,PMN2A_0612
N,speB2,CK_00002247,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,speB2,CK_00002247,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,speB2,CK_00002247,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,speB2,CK_00002247,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,tauA,CK_00002249,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,tauA,CK_00002249,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,tauA,CK_00002249,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,tauA,CK_00002249,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
N,tauB,CK_00008064,Prochlorococcus MED4,,not_matched_in_strain,0.0,
N,tauB,CK_00008064,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
N,tauB,CK_00008064,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
N,tauB,CK_00008064,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phoA,CK_00003430,Prochlorococcus MED4,PMM0708,resolved,1.0,PMM0708
P,phoA,CK_00003430,Prochlorococcus MIT9312,PMT9312_0720,resolved,1.0,PMT9312_0720
P,phoA,CK_00003430,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,phoA,CK_00003430,Prochlorococcus NATL2A,PMN2A_0439,resolved,1.0,PMN2A_0439
P,phoX,CK_00009168,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,phoX,CK_00009168,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,phoX,CK_00009168,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,phoX,CK_00009168,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,PMM707,CK_00003429,Prochlorococcus MED4,PMM0707,resolved,1.0,PMM0707
P,PMM707,CK_00003429,Prochlorococcus MIT9312,PMT9312_0719,resolved,1.0,PMT9312_0719
P,PMM707,CK_00003429,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,PMM707,CK_00003429,Prochlorococcus NATL2A,PMN2A_0438,resolved,1.0,PMN2A_0438
P,PMM721,CK_00003437,Prochlorococcus MED4,PMM0721,resolved,1.0,PMM0721
P,PMM721,CK_00003437,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,PMM721,CK_00003437,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,PMM721,CK_00003437,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,acr3/arsB,CK_00001815,Prochlorococcus MED4,PMM0716,resolved,1.0,PMM0716
P,acr3/arsB,CK_00001815,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,acr3/arsB,CK_00001815,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,acr3/arsB,CK_00001815,Prochlorococcus NATL2A,PMN2A_0447,resolved,1.0,PMN2A_0447
P,arsR,CK_00001532,Prochlorococcus MED4,PMM0714,resolved,1.0,PMM0714
P,arsR,CK_00001532,Prochlorococcus MIT9312,PMT9312_0726,resolved,1.0,PMT9312_0726
P,arsR,CK_00001532,Prochlorococcus MIT9313,PMT1001,resolved,1.0,PMT1001
P,arsR,CK_00001532,Prochlorococcus NATL2A,PMN2A_0446,resolved,1.0,PMN2A_0446
P,chrA,CK_00002826,Prochlorococcus MED4,PMM0711,resolved,1.0,PMM0711
P,chrA,CK_00002826,Prochlorococcus MIT9312,PMT9312_0723,resolved,1.0,PMT9312_0723
P,chrA,CK_00002826,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,chrA,CK_00002826,Prochlorococcus NATL2A,PMN2A_0443,resolved,1.0,PMN2A_0443
P,gap3,CK_00008093,Prochlorococcus MED4,PMM0713,resolved,1.0,PMM0713
P,gap3,CK_00008093,Prochlorococcus MIT9312,PMT9312_0725,resolved,1.0,PMT9312_0725
P,gap3,CK_00008093,Prochlorococcus MIT9313,PMT1000,resolved,1.0,PMT1000
P,gap3,CK_00008093,Prochlorococcus NATL2A,PMN2A_0445,resolved,1.0,PMN2A_0445
P,mfs,CK_00001248,Prochlorococcus MED4,PMM0712,resolved,1.0,PMM0712
P,mfs,CK_00001248,Prochlorococcus MIT9312,PMT9312_0724,resolved,1.0,PMT9312_0724
P,mfs,CK_00001248,Prochlorococcus MIT9313,PMT0999,resolved,1.0,PMT0999
P,mfs,CK_00001248,Prochlorococcus NATL2A,PMN2A_0444,resolved,1.0,PMN2A_0444
P,phoB,CK_00008015,Prochlorococcus MED4,PMM0705,resolved,1.0,PMM0705
P,phoB,CK_00008015,Prochlorococcus MIT9312,PMT9312_0717,resolved,1.0,PMT9312_0717
P,phoB,CK_00008015,Prochlorococcus MIT9313,PMT0994,resolved,1.0,PMT0994
P,phoB,CK_00008015,Prochlorococcus NATL2A,PMN2A_0436,resolved,1.0,PMN2A_0436
P,phoE,CK_00002330,Prochlorococcus MED4,PMM0709,resolved,3.0,PMM0709; PMM1119; PMM1121
P,phoE,CK_00002330,Prochlorococcus MIT9312,PMT9312_0721,resolved,6.0,PMT9312_0721; PMT9312_1130; PMT9312_1131; PMT9312_1264; PMT9312_1512; PMT9312_1515
P,phoE,CK_00002330,Prochlorococcus MIT9313,PMT0998,resolved,5.0,PMT0284; PMT0802; PMT0998; PMT1979; PMT_2631
P,phoE,CK_00002330,Prochlorococcus NATL2A,PMN2A_0440,resolved,5.0,PMN2A_0440; PMN2A_0777; PMN2A_1028; PMN2A_1057; PMN2A_1757
P,phoR,CK_00001531,Prochlorococcus MED4,PMM0706,resolved,1.0,PMM0706
P,phoR,CK_00001531,Prochlorococcus MIT9312,PMT9312_0718,resolved,1.0,PMT9312_0718
P,phoR,CK_00001531,Prochlorococcus MIT9313,PMT_0997,resolved,1.0,PMT_0997
P,phoR,CK_00001531,Prochlorococcus NATL2A,PMN2A_0437,resolved,1.0,PMN2A_0437
P,ptrA,CK_00056804,Prochlorococcus MED4,PMM0718,resolved,1.0,PMM0718
P,ptrA,CK_00056804,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,ptrA,CK_00056804,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,ptrA,CK_00056804,Prochlorococcus NATL2A,PMN2A_0435,resolved,0.0,
P,unkP1,CK_00045417,Prochlorococcus MED4,PMM1878,resolved,1.0,PMM1878
P,unkP1,CK_00045417,Prochlorococcus MIT9312,PMT9312_1857,resolved,1.0,PMT9312_1857
P,unkP1,CK_00045417,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,unkP1,CK_00045417,Prochlorococcus NATL2A,PMN2A_1997,resolved,1.0,PMN2A_1997
P,unkP2,CK_00003432,Prochlorococcus MED4,PMM0715,resolved,2.0,PMM0715; PMM2011
P,unkP2,CK_00003432,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,unkP2,CK_00003432,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,unkP2,CK_00003432,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,unkP3,CK_00052621,Prochlorococcus MED4,PMM0717,resolved,1.0,PMM0717
P,unkP3,CK_00052621,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,unkP3,CK_00052621,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,unkP3,CK_00052621,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,unkP4,CK_00045880,Prochlorococcus MED4,PMM1880,resolved,1.0,PMM1880
P,unkP4,CK_00045880,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,unkP4,CK_00045880,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,unkP4,CK_00045880,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,unkP5,CK_00003436,Prochlorococcus MED4,PMM0720,resolved,1.0,PMM0720
P,unkP5,CK_00003436,Prochlorococcus MIT9312,PMT9312_1520,resolved,1.0,PMT9312_1520
P,unkP5,CK_00003436,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,unkP5,CK_00003436,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,PMM719,CK_00044628,Prochlorococcus MED4,PMM0719,resolved,1.0,PMM0719
P,PMM719,CK_00044628,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,PMM719,CK_00044628,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,PMM719,CK_00044628,Prochlorococcus NATL2A,,ambiguous_multi_member,2.0,PMN2A_0477; PMN2A_0585
P,PMM722,CK_00054292,Prochlorococcus MED4,PMM0722,resolved,1.0,PMM0722
P,PMM722,CK_00054292,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,PMM722,CK_00054292,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,PMM722,CK_00054292,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phnD,CK_00000860,Prochlorococcus MED4,PMM0673,resolved,1.0,PMM0673
P,phnD,CK_00000860,Prochlorococcus MIT9312,PMT9312_0673,resolved,1.0,PMT9312_0673
P,phnD,CK_00000860,Prochlorococcus MIT9313,PMT0780,resolved,1.0,PMT0780
P,phnD,CK_00000860,Prochlorococcus NATL2A,PMN2A_0105,resolved,1.0,PMN2A_0105
P,ppA,CK_00000642,Prochlorococcus MED4,PMM0494,resolved,1.0,PMM0494
P,ppA,CK_00000642,Prochlorococcus MIT9312,PMT9312_0495,resolved,1.0,PMT9312_0495
P,ppA,CK_00000642,Prochlorococcus MIT9313,PMT1275,resolved,1.0,PMT1275
P,ppA,CK_00000642,Prochlorococcus NATL2A,PMN2A_1827,resolved,1.0,PMN2A_1827
P,ppK,CK_00000383,Prochlorococcus MED4,PMM1696,resolved,1.0,PMM1696
P,ppK,CK_00000383,Prochlorococcus MIT9312,PMT9312_1789,resolved,1.0,PMT9312_1789
P,ppK,CK_00000383,Prochlorococcus MIT9313,PMT2245,resolved,1.0,PMT2245
P,ppK,CK_00000383,Prochlorococcus NATL2A,PMN2A_1304,resolved,1.0,PMN2A_1304
P,ppX,CK_00000620,Prochlorococcus MED4,PMM0457,resolved,1.0,PMM0457
P,ppX,CK_00000620,Prochlorococcus MIT9312,PMT9312_0457,resolved,1.0,PMT9312_0457
P,ppX,CK_00000620,Prochlorococcus MIT9313,PMT1327,resolved,1.0,PMT1327
P,ppX,CK_00000620,Prochlorococcus NATL2A,PMN2A_1789,resolved,1.0,PMN2A_1789
P,pstA,CK_00000165,Prochlorococcus MED4,PMM0724,resolved,1.0,PMM0724
P,pstA,CK_00000165,Prochlorococcus MIT9312,PMT9312_0728,resolved,1.0,PMT9312_0728
P,pstA,CK_00000165,Prochlorococcus MIT9313,PMT0701,resolved,1.0,PMT0701
P,pstA,CK_00000165,Prochlorococcus NATL2A,PMN2A_0310,resolved,1.0,PMN2A_0310
P,pstB,CK_00000817,Prochlorococcus MED4,PMM0725,resolved,1.0,PMM0725
P,pstB,CK_00000817,Prochlorococcus MIT9312,PMT9312_0729,resolved,1.0,PMT9312_0729
P,pstB,CK_00000817,Prochlorococcus MIT9313,PMT0700,resolved,1.0,PMT0700
P,pstB,CK_00000817,Prochlorococcus NATL2A,PMN2A_0309,resolved,1.0,PMN2A_0309
P,pstC,CK_00000818,Prochlorococcus MED4,PMM0723,resolved,1.0,PMM0723
P,pstC,CK_00000818,Prochlorococcus MIT9312,PMT9312_0727,resolved,1.0,PMT9312_0727
