n_or_p,gene_name,cyanorak_id,organism_name,locus_tag,status,n_group_members_in_strain,all_members_in_strain,has_evidence,de_row_count,note
P,phoB,CK_00008015,Prochlorococcus MED4,PMM0705,resolved,1.0,PMM0705,True,18,
P,phoE,CK_00002330,Prochlorococcus MED4,PMM0709,resolved,3.0,PMM0709; PMM1119; PMM1121,True,18,
P,phoR,CK_00001531,Prochlorococcus MED4,PMM0706,resolved,1.0,PMM0706,True,15,
P,ptrA,CK_00056804,Prochlorococcus MED4,PMM0718,resolved,1.0,PMM0718,True,12,
P,unkP1,CK_00045417,Prochlorococcus MED4,PMM1878,resolved,1.0,PMM1878,False,0,
P,unkP2,CK_00003432,Prochlorococcus MED4,PMM0715,resolved,2.0,PMM0715; PMM2011,True,15,
P,unkP3,CK_00052621,Prochlorococcus MED4,PMM0717,resolved,1.0,PMM0717,True,10,
P,unkP4,CK_00045880,Prochlorococcus MED4,PMM1880,resolved,1.0,PMM1880,True,1,
P,unkP5,CK_00003436,Prochlorococcus MED4,PMM0720,resolved,1.0,PMM0720,True,12,
P,PMM719,CK_00044628,Prochlorococcus MED4,PMM0719,resolved,1.0,PMM0719,True,17,
P,PMM722,CK_00054292,Prochlorococcus MED4,PMM0722,resolved,1.0,PMM0722,True,13,
P,phnD,CK_00000860,Prochlorococcus MED4,PMM0673,resolved,1.0,PMM0673,True,10,
P,ppA,CK_00000642,Prochlorococcus MED4,PMM0494,resolved,1.0,PMM0494,True,13,
P,ppK,CK_00000383,Prochlorococcus MED4,PMM1696,resolved,1.0,PMM1696,True,10,
P,ppX,CK_00000620,Prochlorococcus MED4,PMM0457,resolved,1.0,PMM0457,True,10,
P,pstA,CK_00000165,Prochlorococcus MED4,PMM0724,resolved,1.0,PMM0724,True,15,
P,pstB,CK_00000817,Prochlorococcus MED4,PMM0725,resolved,1.0,PMM0725,True,13,
P,pstC,CK_00000818,Prochlorococcus MED4,PMM0723,resolved,1.0,PMM0723,True,15,
P,pstS,CK_00043821,Prochlorococcus MED4,PMM0710,resolved,1.0,PMM0710,True,18,
P,sqdB,CK_00000123,Prochlorococcus MED4,PMM1665,resolved,1.0,PMM1665,True,13,
P,phnC,CK_00008048,Prochlorococcus MED4,PMM0672,resolved,1.0,PMM0672,True,10,
P,phnE,CK_00000861,Prochlorococcus MED4,PMM0671,resolved,1.0,PMM0671,True,10,
P,PsiP1,CK_00002662,Prochlorococcus MED4,PMM1416,resolved,1.0,PMM1416,True,18,
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9312,PMT9312_0265,resolved,1.0,PMT9312_0265,False,0,
N,nadB,CK_00000196,Prochlorococcus MIT9312,PMT9312_0104,resolved,1.0,PMT9312_0104,False,0,
N,nadB2,CK_00056735,Prochlorococcus MIT9312,PMT9312_1354,resolved,1.0,PMT9312_1354,False,0,
N,thiO,CK_00000417,Prochlorococcus MIT9312,PMT9312_0048,resolved,1.0,PMT9312_0048,False,0,
N,ureA,CK_00001360,Prochlorococcus MIT9312,PMT9312_0834,resolved,1.0,PMT9312_0834,False,0,
N,ureB,CK_00001359,Prochlorococcus MIT9312,PMT9312_0835,resolved,1.0,PMT9312_0835,False,0,
N,ureC,CK_00001358,Prochlorococcus MIT9312,PMT9312_0836,resolved,1.0,PMT9312_0836,False,0,
N,ureD,CK_00001361,Prochlorococcus MIT9312,PMT9312_0833,resolved,1.0,PMT9312_0833,False,0,
N,ureE,CK_00001362,Prochlorococcus MIT9312,PMT9312_0832,resolved,1.0,PMT9312_0832,False,0,
N,ureF,CK_00001363,Prochlorococcus MIT9312,PMT9312_0831,resolved,1.0,PMT9312_0831,False,0,
N,ureG,CK_00001364,Prochlorococcus MIT9312,PMT9312_0830,resolved,1.0,PMT9312_0830,False,0,
N,ntcA,CK_00000468,Prochlorococcus MIT9312,PMT9312_0248,resolved,1.0,PMT9312_0248,False,0,
N,pipX,CK_00001044,Prochlorococcus MIT9312,PMT9312_0389,resolved,1.0,PMT9312_0389,False,0,
N,glnA,CK_00000103,Prochlorococcus MIT9312,PMT9312_0880,resolved,1.0,PMT9312_0880,False,0,
N,glsF,CK_00000134,Prochlorococcus MIT9312,PMT9312_1604,resolved,1.0,PMT9312_1604,False,0,
N,urtA,CK_00000076,Prochlorococcus MIT9312,PMT9312_0829,resolved,1.0,PMT9312_0829,False,0,
N,urtC,CK_00001366,Prochlorococcus MIT9312,PMT9312_0827,resolved,1.0,PMT9312_0827,False,0,
N,urtD,CK_00001367,Prochlorococcus MIT9312,PMT9312_0826,resolved,1.0,PMT9312_0826,False,0,
N,urtE,CK_00008074,Prochlorococcus MIT9312,PMT9312_0825,resolved,1.0,PMT9312_0825,False,0,
N,natF,CK_00001489,Prochlorococcus MIT9312,PMT9312_1168,resolved,1.0,PMT9312_1168,False,0,
N,natG,CK_00001624,Prochlorococcus MIT9312,PMT9312_1167,resolved,1.0,PMT9312_1167,False,0,
N,natH,CK_00001488,Prochlorococcus MIT9312,PMT9312_1166,resolved,1.0,PMT9312_1166,False,0,
P,phoA,CK_00003430,Prochlorococcus MIT9312,PMT9312_0720,resolved,1.0,PMT9312_0720,True,1,
P,PMM707,CK_00003429,Prochlorococcus MIT9312,PMT9312_0719,resolved,1.0,PMT9312_0719,False,0,
P,arsR,CK_00001532,Prochlorococcus MIT9312,PMT9312_0726,resolved,1.0,PMT9312_0726,False,0,
P,chrA,CK_00002826,Prochlorococcus MIT9312,PMT9312_0723,resolved,1.0,PMT9312_0723,False,0,
P,gap3,CK_00008093,Prochlorococcus MIT9312,PMT9312_0725,resolved,1.0,PMT9312_0725,False,0,
P,mfs,CK_00001248,Prochlorococcus MIT9312,PMT9312_0724,resolved,1.0,PMT9312_0724,False,0,
P,phoB,CK_00008015,Prochlorococcus MIT9312,PMT9312_0717,resolved,1.0,PMT9312_0717,False,0,
P,phoE,CK_00002330,Prochlorococcus MIT9312,PMT9312_0721,resolved,6.0,PMT9312_0721; PMT9312_1130; PMT9312_1131; PMT9312_1264; PMT9312_1512; PMT9312_1515,True,1,
P,phoR,CK_00001531,Prochlorococcus MIT9312,PMT9312_0718,resolved,1.0,PMT9312_0718,False,0,
P,unkP1,CK_00045417,Prochlorococcus MIT9312,PMT9312_1857,resolved,1.0,PMT9312_1857,False,0,
P,unkP5,CK_00003436,Prochlorococcus MIT9312,PMT9312_1520,resolved,1.0,PMT9312_1520,False,0,
P,phnD,CK_00000860,Prochlorococcus MIT9312,PMT9312_0673,resolved,1.0,PMT9312_0673,False,0,
P,ppA,CK_00000642,Prochlorococcus MIT9312,PMT9312_0495,resolved,1.0,PMT9312_0495,False,0,
P,ppK,CK_00000383,Prochlorococcus MIT9312,PMT9312_1789,resolved,1.0,PMT9312_1789,False,0,
P,ppX,CK_00000620,Prochlorococcus MIT9312,PMT9312_0457,resolved,1.0,PMT9312_0457,False,0,
P,pstA,CK_00000165,Prochlorococcus MIT9312,PMT9312_0728,resolved,1.0,PMT9312_0728,False,0,
P,pstB,CK_00000817,Prochlorococcus MIT9312,PMT9312_0729,resolved,1.0,PMT9312_0729,False,0,
P,pstC,CK_00000818,Prochlorococcus MIT9312,PMT9312_0727,resolved,1.0,PMT9312_0727,False,0,
P,pstS,CK_00043821,Prochlorococcus MIT9312,PMT9312_0722,resolved,1.0,PMT9312_0722,True,1,
P,sqdB,CK_00000123,Prochlorococcus MIT9312,PMT9312_1757,resolved,1.0,PMT9312_1757,False,0,
P,phnC,CK_00008048,Prochlorococcus MIT9312,PMT9312_0672,resolved,1.0,PMT9312_0672,False,0,
P,phnE,CK_00000861,Prochlorococcus MIT9312,PMT9312_0671,resolved,1.0,PMT9312_0671,False,0,
N,amtB/amt1,CK_00000244,Prochlorococcus MIT9313,PMT1853,resolved,1.0,PMT1853,True,6,
N,focA,CK_00001669,Prochlorococcus MIT9313,PMT2240,resolved,1.0,PMT2240,True,6,
N,nadB,CK_00000196,Prochlorococcus MIT9313,PMT0177,resolved,1.0,PMT0177,True,6,
N,nirA,CK_00001355,Prochlorococcus MIT9313,PMT2239,resolved,1.0,PMT2239,True,6,
N,nirX,CK_00001553,Prochlorococcus MIT9313,PMT2241,resolved,1.0,PMT2241,True,6,
N,thiO,CK_00000417,Prochlorococcus MIT9313,PMT2140,resolved,1.0,PMT2140,True,6,
N,ureA,CK_00001360,Prochlorococcus MIT9313,PMT2234,resolved,1.0,PMT2234,True,6,
N,ureB,CK_00001359,Prochlorococcus MIT9313,PMT2235,resolved,1.0,PMT2235,True,6,
N,ureC,CK_00001358,Prochlorococcus MIT9313,PMT2236,resolved,1.0,PMT2236,True,6,
N,ureD,CK_00001361,Prochlorococcus MIT9313,PMT2233,resolved,1.0,PMT2233,True,6,
N,ureE,CK_00001362,Prochlorococcus MIT9313,PMT2232,resolved,1.0,PMT2232,True,6,
N,ureF,CK_00001363,Prochlorococcus MIT9313,PMT2231,resolved,1.0,PMT2231,True,6,
N,ureG,CK_00001364,Prochlorococcus MIT9313,PMT2230,resolved,1.0,PMT2230,True,6,
N,ntcA,CK_00000468,Prochlorococcus MIT9313,PMT1831,resolved,1.0,PMT1831,True,6,
N,pipX,CK_00001044,Prochlorococcus MIT9313,PMT0205,resolved,1.0,PMT0205,True,6,
N,glnA,CK_00000103,Prochlorococcus MIT9313,PMT0601,resolved,1.0,PMT0601,True,6,
N,glsF,CK_00000134,Prochlorococcus MIT9313,PMT1777,resolved,1.0,PMT1777,True,6,
N,urtA,CK_00000076,Prochlorococcus MIT9313,PMT2229,resolved,1.0,PMT2229,True,6,
N,urtC,CK_00001366,Prochlorococcus MIT9313,PMT2227,resolved,1.0,PMT2227,True,6,
N,urtD,CK_00001367,Prochlorococcus MIT9313,PMT2226,resolved,1.0,PMT2226,True,6,
N,urtE,CK_00008074,Prochlorococcus MIT9313,PMT2225,resolved,1.0,PMT2225,True,6,
N,gdhA,CK_00003700,Prochlorococcus MIT9313,PMT0623,resolved,1.0,PMT0623,True,6,
N,natF,CK_00001489,Prochlorococcus MIT9313,PMT0897,resolved,1.0,PMT0897,True,6,
N,natG,CK_00001624,Prochlorococcus MIT9313,PMT0896,resolved,1.0,PMT0896,True,6,
N,natH,CK_00001488,Prochlorococcus MIT9313,PMT0894,resolved,1.0,PMT0894,True,6,
P,arsR,CK_00001532,Prochlorococcus MIT9313,PMT1001,resolved,1.0,PMT1001,True,6,
P,gap3,CK_00008093,Prochlorococcus MIT9313,PMT1000,resolved,1.0,PMT1000,True,10,
P,mfs,CK_00001248,Prochlorococcus MIT9313,PMT0999,resolved,1.0,PMT0999,True,10,
P,phoB,CK_00008015,Prochlorococcus MIT9313,PMT0994,resolved,1.0,PMT0994,True,10,
P,phoE,CK_00002330,Prochlorococcus MIT9313,PMT0998,resolved,5.0,PMT0284; PMT0802; PMT0998; PMT1979; PMT_2631,True,10,
P,phoR,CK_00001531,Prochlorococcus MIT9313,PMT_0997,resolved,1.0,PMT_0997,True,6,
P,phnD,CK_00000860,Prochlorococcus MIT9313,PMT0780,resolved,1.0,PMT0780,True,6,
P,ppA,CK_00000642,Prochlorococcus MIT9313,PMT1275,resolved,1.0,PMT1275,True,6,
P,ppK,CK_00000383,Prochlorococcus MIT9313,PMT2245,resolved,1.0,PMT2245,True,6,
P,ppX,CK_00000620,Prochlorococcus MIT9313,PMT1327,resolved,1.0,PMT1327,True,6,
P,pstA,CK_00000165,Prochlorococcus MIT9313,PMT0701,resolved,1.0,PMT0701,True,10,
P,pstB,CK_00000817,Prochlorococcus MIT9313,PMT0700,resolved,1.0,PMT0700,True,10,
P,pstC,CK_00000818,Prochlorococcus MIT9313,PMT0702,resolved,1.0,PMT0702,True,10,
P,pstS,CK_00043821,Prochlorococcus MIT9313,PMT0993,resolved,2.0,PMT0508; PMT0993,True,10,
P,sqdB,CK_00000123,Prochlorococcus MIT9313,PMT0050,resolved,1.0,PMT0050,True,6,
P,phnC,CK_00008048,Prochlorococcus MIT9313,PMT0781,resolved,1.0,PMT0781,True,6,
P,phnE,CK_00000861,Prochlorococcus MIT9313,PMT0782,resolved,1.0,PMT0782,True,6,
N,amtB/amt1,CK_00000244,Prochlorococcus NATL2A,PMN2A_1629,resolved,1.0,PMN2A_1629,False,0,
N,cynS,CK_00001552,Prochlorococcus NATL2A,PMN2A_1390,resolved,1.0,PMN2A_1390,False,0,
N,focA,CK_00001669,Prochlorococcus NATL2A,PMN2A_1299,resolved,1.0,PMN2A_1299,False,0,
N,nadB,CK_00000196,Prochlorococcus NATL2A,PMN2A_1468,resolved,1.0,PMN2A_1468,False,0,
N,nirA,CK_00001355,Prochlorococcus NATL2A,PMN2A_1298,resolved,1.0,PMN2A_1298,False,0,
N,nirX,CK_00001553,Prochlorococcus NATL2A,PMN2A_1300,resolved,1.0,PMN2A_1300,False,0,
N,thiO,CK_00000417,Prochlorococcus NATL2A,PMN2A_1380,resolved,1.0,PMN2A_1380,False,0,
N,ureA,CK_00001360,Prochlorococcus NATL2A,PMN2A_1053,resolved,1.0,PMN2A_1053,False,0,
N,ureB,CK_00001359,Prochlorococcus NATL2A,PMN2A_1054,resolved,1.0,PMN2A_1054,False,0,
N,ureC,CK_00001358,Prochlorococcus NATL2A,PMN2A_1055,resolved,1.0,PMN2A_1055,False,0,
N,ureD,CK_00001361,Prochlorococcus NATL2A,PMN2A_1052,resolved,1.0,PMN2A_1052,False,0,
N,ureE,CK_00001362,Prochlorococcus NATL2A,PMN2A_1051,resolved,1.0,PMN2A_1051,False,0,
N,ureF,CK_00001363,Prochlorococcus NATL2A,PMN2A_1050,resolved,1.0,PMN2A_1050,False,0,
N,ureG,CK_00001364,Prochlorococcus NATL2A,PMN2A_1049,resolved,1.0,PMN2A_1049,False,0,
N,ntcA,CK_00000468,Prochlorococcus NATL2A,PMN2A_1612,resolved,1.0,PMN2A_1612,False,0,
N,pipX,CK_00001044,Prochlorococcus NATL2A,PMN2A_1728,resolved,1.0,PMN2A_1728,False,0,
N,glnA,CK_00000103,Prochlorococcus NATL2A,PMN2A_0141,resolved,1.0,PMN2A_0141,True,1,
N,glsF,CK_00000134,Prochlorococcus NATL2A,PMN2A_1078,resolved,1.0,PMN2A_1078,False,0,
N,urtA,CK_00000076,Prochlorococcus NATL2A,PMN2A_1048,resolved,1.0,PMN2A_1048,False,0,
N,urtC,CK_00001366,Prochlorococcus NATL2A,PMN2A_1046,resolved,1.0,PMN2A_1046,False,0,
N,urtD,CK_00001367,Prochlorococcus NATL2A,PMN2A_1045,resolved,1.0,PMN2A_1045,False,0,
N,urtE,CK_00008074,Prochlorococcus NATL2A,PMN2A_1044,resolved,1.0,PMN2A_1044,False,0,
N,natF,CK_00001489,Prochlorococcus NATL2A,PMN2A_0614,resolved,1.0,PMN2A_0614,False,0,
N,natG,CK_00001624,Prochlorococcus NATL2A,PMN2A_0613,resolved,1.0,PMN2A_0613,False,0,
N,natH,CK_00001488,Prochlorococcus NATL2A,PMN2A_0612,resolved,1.0,PMN2A_0612,False,0,
P,phoA,CK_00003430,Prochlorococcus NATL2A,PMN2A_0439,resolved,1.0,PMN2A_0439,True,6,
P,PMM707,CK_00003429,Prochlorococcus NATL2A,PMN2A_0438,resolved,1.0,PMN2A_0438,True,6,
P,acr3/arsB,CK_00001815,Prochlorococcus NATL2A,PMN2A_0447,resolved,1.0,PMN2A_0447,False,0,
P,arsR,CK_00001532,Prochlorococcus NATL2A,PMN2A_0446,resolved,1.0,PMN2A_0446,False,0,
P,chrA,CK_00002826,Prochlorococcus NATL2A,PMN2A_0443,resolved,1.0,PMN2A_0443,False,0,
P,gap3,CK_00008093,Prochlorococcus NATL2A,PMN2A_0445,resolved,1.0,PMN2A_0445,True,6,
P,mfs,CK_00001248,Prochlorococcus NATL2A,PMN2A_0444,resolved,1.0,PMN2A_0444,True,6,
P,phoB,CK_00008015,Prochlorococcus NATL2A,PMN2A_0436,resolved,1.0,PMN2A_0436,True,6,
P,phoE,CK_00002330,Prochlorococcus NATL2A,PMN2A_0440,resolved,5.0,PMN2A_0440; PMN2A_0777; PMN2A_1028; PMN2A_1057; PMN2A_1757,True,6,
P,phoR,CK_00001531,Prochlorococcus NATL2A,PMN2A_0437,resolved,1.0,PMN2A_0437,True,6,
P,ptrA,CK_00056804,Prochlorococcus NATL2A,PMN2A_0435,resolved,0.0,,True,6,
P,unkP1,CK_00045417,Prochlorococcus NATL2A,PMN2A_1997,resolved,1.0,PMN2A_1997,True,6,
P,phnD,CK_00000860,Prochlorococcus NATL2A,PMN2A_0105,resolved,1.0,PMN2A_0105,False,0,
P,ppA,CK_00000642,Prochlorococcus NATL2A,PMN2A_1827,resolved,1.0,PMN2A_1827,True,1,
P,ppK,CK_00000383,Prochlorococcus NATL2A,PMN2A_1304,resolved,1.0,PMN2A_1304,False,0,
P,ppX,CK_00000620,Prochlorococcus NATL2A,PMN2A_1789,resolved,1.0,PMN2A_1789,False,0,
P,pstA,CK_00000165,Prochlorococcus NATL2A,PMN2A_0310,resolved,1.0,PMN2A_0310,True,6,
P,pstB,CK_00000817,Prochlorococcus NATL2A,PMN2A_0309,resolved,1.0,PMN2A_0309,True,6,
P,pstC,CK_00000818,Prochlorococcus NATL2A,PMN2A_0311,resolved,1.0,PMN2A_0311,True,6,
P,pstS,CK_00043821,Prochlorococcus NATL2A,PMN2A_0441,resolved,1.0,PMN2A_0441,True,7,
P,sqdB,CK_00000123,Prochlorococcus NATL2A,PMN2A_1264,resolved,1.0,PMN2A_1264,False,0,
P,phnC,CK_00008048,Prochlorococcus NATL2A,PMN2A_0104,resolved,1.0,PMN2A_0104,False,0,
P,phnE,CK_00000861,Prochlorococcus NATL2A,PMN2A_0103,resolved,1.0,PMN2A_0103,False,0,
